,foodname_ESP,foodname_ENG,energy,fats,prot,water,fiber,carbs,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,chol,A,D,E,B9,B3,B2,B1,B12,B6,C,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,unsat_fats,salt,group
537,"mousse de yogur, con frutas","yogurt mousse, with fruits",145.0,6.7,3.3,72.3,0.0,17.7,0.0,0.0,0.0,False,0.0,45.2,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dairy
538,"mousse de yogur, natural","yogurt mousse, plain",166.0,9.4,4.4,70.4,0.0,15.8,0.0,0.0,0.0,False,0.0,45.9,0.23,0.0,4.1,0.0,0.16,0.0,0.25,0.09,0.0,127.0,0.1,159.0,13.0,46.0,95.0,0.0,0.0,0.35,0.0,115.0,dairy
539,muesli,granola,383.0,11.0,9.0,11.0,8.0,61.0,3.39,1.77,2.5,False,0.0,164.0,4.25,2.9,200.9,6.8,0.6,0.8,0.85,1.7,51.0,50.0,6.6,400.0,70.0,200.0,250.0,5.0,17.3,1.5,5.16,500.0,cereals
540,"mújol, al horno","thicklip grey mullet, baked",148.0,5.3143,24.8,70.3,0.0,0.0,1.4,0.92,1.4,False,63.0,0.0117,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.5,0.0,30.0,1.4,458.0,30.0,70.0,240.0,330.0,46.8,0.6,2.32,175.0,seafood
541,"mújol, crudo","thicklip grey mullet, raw",128.0,6.8,15.8,76.6,0.0,0.8,1.4,2.4,2.3,True,34.0,27.0,0.0,1.0,9.0,5.7,0.21,0.08,0.22,0.42,1.2,38.0,1.2,290.0,26.0,80.0,217.0,330.0,36.5,0.8,3.8,200.0,seafood
542,"nabo, pelado, crudo","turnip, peeled, raw",19.0,0.2,0.9,89.8,2.0,3.2,0.0,0.1,0.0,False,0.0,2.6667,0.0,0.0,16.0,6.0,0.05,0.05,0.0,0.09,20.0,39.0,0.3,238.0,8.0,57.0,31.0,20.0,1.0,0.1,0.1,142.5,vegetables
543,"napolitana, rellena con crema de cacao","flaky pastry, filled with chocolate cream",468.0,27.0,7.0,17.0,7.2,49.0,4.77,9.04,2.3,True,50.0,2.96,1.23,5.51,63.4,1.5,0.1,0.0,3.23,0.05,0.0,79.4,3.9,0.0,19.8,498.0,118.0,7.5,3.0,2.3,13.809999999999999,1245.0,cereals
544,naranja,orange,38.0,0.0,0.8,88.6,2.0,8.6,0.055,0.076,0.028,False,0.0,46.0,0.0,0.2,37.0,0.3,0.03,0.1,0.0,0.06,50.0,36.0,0.3,200.0,12.0,3.0,28.0,2.0,1.0,0.18,0.131,7.5,fruits
545,nata montada,whipped cream,304.0,31.7,2.36,62.7,0.0,3.27,9.71,0.82,17.72,False,109.0,339.0,1.1,0.712,4.0,0.617,0.15,0.025,0.4,0.036,1.0,80.0,0.03,112.0,10.0,34.0,63.0,2.4,1.0,0.26,10.530000000000001,85.0,fats_oils
546,"nata, líquida, para cocinar, 18% de grasa","cream, 18 % fat, uht",202.0,19.9894,2.51,73.9,0.0,3.4,5.7,0.49,12.7,False,70.0,196.667,0.7,0.5,0.0,0.07,0.5,0.03,0.25,0.02,1.0,94.0,0.2,130.0,9.0,45.0,65.0,2.9,0.0,0.2,6.19,112.5,dairy
547,natillas sabor vainilla,"custard, vainilla flavored",104.0,2.9,3.7,77.9,0.0,15.48,0.76,0.06,1.89,True,10.0,63.0,0.03,0.1,5.0,1.0,0.18,0.04,0.5,0.06,1.0,130.0,0.1,160.0,13.0,81.0,110.0,8.3,2.7,0.4,0.8200000000000001,202.5,dairy
