,foodname_ESP,foodname_ENG,energy,fats,prot,water,fiber,carbs,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,chol,A,D,E,B9,B3,B2,B1,B12,B6,C,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,unsat_fats,salt,group
249,"chocolate, negro","chocolate, bitter",543.0,29.2,4.7,1.3,0.0,64.8,9.3,1.2,16.9,True,9.0,8.6667,0.0,0.1333,6.0,0.9667,0.1367,0.0467,0.0,0.05,0.0,37.6667,1.5,359.667,123.667,12.3333,181.333,2.3,6.8,2.2333,10.5,30.83325,sweets
250,choped pork,pork luncheon meat,309.0,27.0,14.0,56.0,0.0,3.0,11.29,4.17,9.4,True,72.0,0.0,0.0,0.25,0.0,5.9,0.21,0.33,0.0,0.05,0.0,13.0,2.2,207.0,9.0,668.0,160.0,1.0,18.6,2.9,15.459999999999999,1670.0,meat
251,chorizo,chorizo,323.0,23.1,27.0,47.0,0.0,1.9,11.0,2.502,9.6,True,72.6,0.0,0.0,0.29,0.9,7.1,0.15,0.33,0.9,0.14,0.0,18.4,2.1,180.0,10.3,1060.0,270.0,10.9,21.1,1.2,13.501999999999999,2650.0,meat
252,"chufa, cruda","tigger nut, raw",409.0,23.74,6.13,7.095,17.4,42.5402,16.4693,2.2093,4.0169,False,0.0,0.0,0.0,10.0,141.0,1.8,0.1,0.23,0.0,0.33,6.0,69.54,3.41,519.2,86.88,37.63,232.225,0.0,0.0,4.19,18.6786,94.075,legumes
253,churro,cruller,360.0,20.0,4.6,34.2,1.2,40.0,6.37,10.0,2.62,False,0.0,0.0,0.0,0.34,11.0,1.6,0.03,0.04,0.0,0.1,0.0,7.0,0.6,146.0,14.0,2.0,108.0,10.0,4.0,0.4,16.37,5.0,cereals
254,"ciervo, parte s/e, crudo, con grasa separable","deer, piece n/e, raw, with separable fat",105.0,1.6,22.2,76.2,0.0,0.0,0.4,0.4,0.8,True,50.0,0.0,0.0,0.2,4.0,6.37,0.48,0.22,6.31,0.37,0.0,5.0,3.3,340.0,25.0,55.0,210.0,6.0,9.7,2.4,0.8,137.5,meat
255,cigala,scampi,87.0,1.4,17.7,80.4,0.0,0.5,0.2,0.5,0.2,False,105.0,0.0,0.0,1.5,17.0,1.3,0.05,0.08,1.0,0.1,0.0,100.0,1.0,400.0,30.0,400.0,300.0,30.0,41.4,0.8,0.7,1000.0,seafood
256,"ciruela, con piel, cruda","yellow plum, with skin, raw",54.0,0.2,0.75,82.35,2.3,12.0,0.0,0.0,0.0,False,0.0,20.0,0.0,0.5,3.0,0.5,0.035,0.055,0.0,0.05,6.0,12.5,0.45,236.5,11.5,0.5,29.0,0.0,0.5,0.4,0.0,1.25,fruits
257,"ciruela, sin piel",skinned plum,47.0,0.0,0.6,86.3,2.1,11.0,0.052,0.078,0.022,False,0.0,49.2,0.0,0.7,3.0,0.5,0.05,0.07,0.0,0.05,3.0,14.0,0.4,240.0,8.0,2.0,10.0,2.0,0.0,0.1,0.13,5.0,fruits
258,"coco, desecado","coconut, dried",588.0,58.0,6.2,7.0,17.0,11.8,3.8,0.9,49.9,False,0.0,0.0,0.0,0.7,9.0,0.3,0.02,0.03,0.0,0.3,2.0,26.0,3.32,543.0,90.0,37.0,206.0,0.3,18.5,2.01,4.7,92.5,fruits
259,"coco, fresco","coconut, raw",373.0,33.5,3.3,39.0,9.0,15.2,1.4,0.37,29.7,False,0.0,0.0,0.0,0.7,26.0,1.1,0.02,0.03,0.0,0.04,2.0,13.0,2.1,405.0,52.0,17.0,94.0,1.0,10.1,0.5,1.77,42.5,fruits
260,"col blanca, cruda","cabbage, white, raw",36.0,0.9,4.3,88.1,4.2,2.54,0.017,0.4899,0.105,False,0.0,4.0,0.0,1.7,77.0,2.07,0.25,0.1,0.0,0.25,37.4,57.0,1.9,270.0,31.0,35.0,87.0,4.5,1.4,0.33,0.5069,87.5,vegetables
261,"col de bruselas, cruda","brussels sprout, frozen",35.0,0.5,4.0,84.4,4.3,3.5,0.0,0.2,0.1,False,0.0,13.0,0.0,0.9,55.6,0.69,0.13,0.14,0.0,0.28,110.0,31.0,1.1,411.0,23.0,9.0,77.0,10.0,1.6,0.5,0.2,22.5,vegetables
262,"col lombarda, hervida","red cabbage, boiled",18.0,0.3,1.0,91.4,2.4,2.75,0.0,0.15,0.0,False,0.0,1.0,0.0,0.7,34.0,0.2,0.02,0.03,0.0,0.1,33.0,37.0,0.4,140.0,9.0,3.0,29.0,1.0,0.4,0.1,0.15,7.5,vegetables
263,"col rizada, cruda","savoy cabbage, raw",34.0,1.6,3.4,90.3,3.3,1.4,0.1,0.9,0.2,False,0.0,165.83,0.0,0.2,150.0,1.0,0.03,0.15,0.0,0.19,62.0,53.0,1.1,320.0,7.0,5.0,44.0,0.0,2.0,0.3,1.0,12.5,vegetables
264,"coliflor, congelada, cruda","cauliflower, frozen, raw",18.0,0.175,2.0,92.5,2.3,2.1,0.0,0.14,0.0,False,0.0,0.0,0.0,0.12,64.0,0.43,0.07,0.05,0.0,0.12,47.0,22.0,0.5,193.0,12.0,24.0,35.0,1.0,0.4,0.6,0.14,60.0,vegetables
265,"coliflor, hervida","cauliflower, boiled",27.0,0.87,2.76,90.6,1.6,2.04,0.1,0.5,0.2,False,0.0,1.0,0.0,0.1,35.7,0.91,0.03,0.05,0.0,0.12,18.23,16.15,0.35,87.0,9.6,2.9,49.4,0.0,0.0,0.35,0.6,7.25,vegetables
266,comino,cumin,419.0,18.2,17.8,8.1,10.5,45.4,0.0,0.0,0.0,False,0.0,127.0,0.0,0.0,0.0,4.579,0.327,0.628,0.0,0.0,7.71,931.0,66.35,1788.0,356.0,168.0,499.0,0.0,0.0,0.0,0.0,420.0,misc
267,coñac,cognac,233.0,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,drinks
268,"conejo de granja, carne, cruda","farm rabbit, meat, raw",132.0,5.3,20.7,74.0,0.0,0.0,2.11,1.76,3.03,True,58.0,0.0,0.0,0.54,5.0,8.6,0.14,0.1,10.0,0.42,0.0,22.0,1.0,360.0,25.0,67.0,220.0,3.0,17.0,1.4,3.87,167.5,meat
269,"conejo, entero, estofado","rabbit, whole, stewed",195.0,8.6773,29.0,62.3,0.0,0.0,2.8,2.0,3.4,False,90.0,7.0017,0.2,0.01,4.0,8.1,0.24,0.07,9.8,0.47,0.0,17.0,2.1,255.0,21.0,37.0,213.0,3.0,16.0,0.9,4.8,92.5,meat
270,"confitura, frutas s/e, baja en calorías","preserve fruit, fruit n/e, light",226.0,0.0,0.5,43.7,0.8,55.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,105.0,7.0,14.0,14.0,2.7,2.0,0.0,0.0,35.0,sweets
271,congrio,conger,102.0,2.8,19.0,78.5,0.0,0.0,0.91,0.37,0.55,False,40.0,500.0,22.0,4.1,13.0,5.5,0.37,0.17,1.0,0.28,0.0,30.0,0.7,340.0,30.0,50.0,202.0,4.0,30.0,2.0,1.28,125.0,seafood
272,"corazón de cordero, crudo","heart, lamb, raw",119.0,5.7,16.5,77.6,0.0,0.21,1.6,0.6,2.3,False,135.0,0.0,0.2,0.37,2.0,6.14,0.86,0.31,8.0,0.39,5.0,6.0,4.6,316.0,17.0,89.0,175.0,7.0,32.0,1.87,2.2,222.5,meat
273,"corazón de pollo, crudo","heart, chicken, raw",149.0,9.3,15.6,74.4,0.0,0.71,2.4,2.7,2.7,False,136.0,9.0,0.2,1.2,72.0,4.88,1.24,0.43,4.24,0.36,6.0,22.0,1.7,262.0,15.0,111.0,164.0,7.0,4.3,3.1,5.1,277.5,meat
274,"corazon de vaca, crudo","beef (cow), heart, raw",105.0,4.0,17.0,79.0,0.0,0.0,1.0,0.5,1.6,False,140.0,0.0,1.0,0.52,3.0,10.467,1.02,0.19,13.0,0.3,6.0,6.0,4.8,263.0,23.0,92.0,210.0,7.0,22.0,2.0,1.5,230.0,meat
275,"corazón, de cerdo, crudo","pork, heart, raw",115.0,4.4,17.3,78.7,0.0,1.3,1.0,1.1,1.2,False,131.0,10.0,0.2,0.63,2.0,6.6,1.06,0.46,2.7,0.29,5.3,5.0,4.3,257.0,20.0,80.0,176.0,0.0,10.4,2.2,2.1,200.0,meat
276,"corazón, de vaca/buey, cocido","beef (cow/ox), heart, boiled",164.0,5.6654,27.9,65.0,0.0,0.0,1.4,0.77,2.3,False,200.0,0.0,1.4,0.7,2.0,3.1,1.4,0.2,14.0,0.15,2.0,6.0,7.3,232.0,25.0,100.0,230.0,7.0,38.9,3.5,2.17,250.0,meat
277,"corazón, de vaca/buey, crudo","beef (cow/ox), heart, raw",104.0,3.9544,17.0,76.6,0.0,0.0,0.98,0.54,1.6,False,140.0,0.0,1.0,0.52,3.0,7.3,0.96,0.44,13.0,0.3,6.0,6.0,4.8,263.0,23.0,92.0,210.0,7.0,33.3,2.0,1.52,230.0,meat
278,"cordero lechal, costillar, asado","suckling lamb, ribs, roasted",235.0,16.49,21.63,60.76,0.0,0.0,5.67,0.79,5.83,True,78.22,0.0,30.0,0.08,1.15,3.59,0.11,0.09,2.11,0.53,0.0,17.23,0.79,268.52,18.34,96.52,172.45,0.0,7.64,2.71,6.46,241.29999999999998,meat
279,"cordero lechal, costillar, crudo","suckling lamb, ribs, raw",192.0,13.14,18.46,67.36,0.0,0.0,5.29,0.75,5.47,True,75.13,0.0,0.0,0.12,4.19,2.97,0.09,0.13,1.82,0.54,0.0,10.69,0.86,292.05,19.71,89.1,191.92,0.0,6.63,2.69,6.04,222.75,meat
280,"cordero lechal, espalda, cruda","suckling lamb, back, raw",190.0,12.4,19.46,67.06,0.0,0.0,4.41,0.62,4.54,True,74.98,0.0,0.0,0.15,5.18,2.92,0.08,0.14,2.46,0.5,0.0,8.09,0.78,289.22,17.94,81.37,178.02,0.0,6.54,3.16,5.03,203.425,meat
281,"cordero lechal, pierna, cruda","suckling lamb, leg, raw",188.0,12.32,19.19,67.39,0.0,0.0,4.03,0.56,4.14,True,76.53,0.0,0.0,0.17,4.67,3.46,0.08,0.15,2.62,0.61,0.0,11.21,0.98,324.16,21.39,81.55,212.66,0.0,8.07,3.11,4.59,203.875,meat
282,"cordero ligero, costillar, asado","light lamb, ribs, roasted",274.0,20.93,21.59,56.44,0.0,0.0,6.48,0.91,6.72,True,71.09,0.0,20.0,0.0,1.25,2.22,0.06,0.1,2.19,0.4,0.0,13.15,1.05,224.66,15.78,76.29,145.77,0.0,12.29,2.91,7.390000000000001,190.72500000000002,meat
283,"cordero ligero, costillar, crudo","light lamb, ribs, raw",234.0,18.46,17.26,63.36,0.0,0.0,6.17,0.88,6.39,True,64.43,0.0,0.0,0.25,4.46,4.34,0.08,0.13,1.98,0.63,0.0,13.35,1.11,265.4,18.91,75.73,171.68,0.0,11.69,3.35,7.05,189.32500000000002,meat
284,"cordero ligero, espalda, cruda","light lamb, back, raw",201.0,14.55,17.61,66.91,0.0,0.0,5.17,0.74,5.34,True,65.74,0.0,0.0,0.14,4.61,3.4,0.07,0.14,2.06,0.53,0.0,8.16,1.12,284.87,18.93,77.16,175.14,0.0,12.46,3.68,5.91,192.89999999999998,meat
285,"cordero ligero, pierna, cruda","light lamb, leg, raw",184.0,12.05,18.98,67.98,0.0,0.0,4.38,0.62,4.54,True,67.96,0.0,0.0,0.16,4.16,3.32,0.07,0.14,2.53,0.54,0.0,7.27,1.24,301.49,20.78,67.5,192.88,0.0,12.25,3.08,5.0,168.75,meat
286,"cordero, costilla, crudo","lamb, rib, raw",242.0,20.1,15.6,64.1,0.0,0.0,8.05,1.18,9.96,False,79.0,0.0,0.0,0.17,3.0,4.4,0.18,0.13,1.3,0.2,0.0,9.0,2.6,320.0,16.0,75.0,170.0,2.0,27.3,2.2,9.23,187.5,meat
287,"cordero, parte sin especificar","lamb, not specified part",354.0,32.7,15.6,51.7,0.0,0.0,11.33,1.76,15.17,True,78.0,0.0,0.0,0.26,3.0,7.4,0.16,0.08,1.0,0.17,0.0,7.0,1.2,260.0,18.0,68.0,194.0,3.0,1.0,3.3,13.09,170.0,meat
288,"cordero, pierna, con grasa, asada","lamb, leg, with separable fat, baked",223.0,13.5887,25.0,60.0,0.0,0.0,5.7,0.85,6.4,False,84.0,0.0,0.0,0.1,3.0,6.0,0.26,0.12,2.0,0.15,0.0,9.0,2.2,286.0,22.0,60.0,180.0,3.0,4.0,4.6,6.55,150.0,meat
289,corteza de trigo,wheat crusts,484.0,25.8,10.26,1.6,6.25,52.19,10.782,2.885,10.73,False,0.0,3.37,0.0,1.74,10.29,3.8,0.1,0.1,0.24,0.12,0.0,61.2,15.3,349.5,60.3,1234.3,199.7,10.0,17.1,1.9,13.667,3085.75,misc
290,crema catalana,catalan creme,104.0,2.9,3.7,77.9,0.0,15.48,0.76,0.06,1.89,False,10.0,63.0,0.83,0.1,5.0,1.0,0.18,0.04,0.5,0.06,1.0,130.0,0.1,160.0,13.0,81.0,110.0,8.3,2.7,0.4,0.8200000000000001,202.5,dairy
291,crema de almendras,"almond, cream",380.0,13.2,4.6,22.0,0.5,59.7,7.6,2.1,0.9,False,0.0,0.0,0.0,5.2,8.0,1.14,0.1,0.05,0.0,0.02,0.0,49.0,0.8,186.0,63.0,3.0,168.0,0.0,4.2,0.7,9.7,7.5,legumes
292,crema de cacahuete,peanut butter,602.0,50.9414,25.5,1.2,7.0,11.2,25.8,12.8,10.1,True,0.0,0.0,0.0,5.0,67.0,15.0,0.1,0.15,0.0,0.5,0.0,40.0,2.0,750.0,180.0,313.0,366.0,0.5,4.1,3.0,38.6,782.5,legumes
293,crema de chocolate con avellanas,chocolate paste with hazelnuts,544.0,33.0,5.4,4.5,1.1,56.02,16.8256,4.607,10.1154,True,6.0,17.65,0.05,12.3,22.3,0.86,0.12,0.11,0.07,0.06,0.24,74.1,1.18,288.1,72.2,93.8,152.0,3.4,3.6,1.0,21.4326,234.5,sweets
294,crema de chocolate y nata,chocolate and cream pudding,86.0,3.4,3.9,82.8,0.5,9.9,1.0,0.1,2.6,False,7.0,18.6,0.05,0.1,0.35,0.8,0.17,0.03,0.4,0.04,1.0,125.0,0.3,140.0,19.6,61.0,99.0,14.1,2.3,0.5,1.1,152.5,misc
295,"crema de chocolate, baja en calorías","chocolate cream, low calorie",75.0,3.4,3.6,79.1,0.4,13.9,1.8,0.9,0.5,False,1.4,19.8,0.05,0.5,0.31,1.0,0.16,0.04,0.4,0.05,1.2,111.0,0.2,158.0,19.7,58.0,105.0,17.0,2.8,0.6,2.7,145.0,misc
296,crema de coco,coconut cream,125.0,3.5,2.9,73.4,0.01,19.1,0.96,0.24,2.1,False,11.0,34.0,0.1,0.4,0.31,0.084,0.14,0.033,0.4,0.037,0.8,113.0,0.15,160.0,14.0,55.0,104.0,13.4,2.0,0.33,1.2,137.5,misc
297,crema de vainilla y mousse de chocolate,vanilla cream and chocolate mousse,131.0,6.5,4.0,70.6,0.0,22.5,2.6,0.13,3.3,False,35.0,23.2,0.08,0.58,0.28,1.1,0.15,0.04,0.3,0.04,0.0,116.0,1.6,160.0,28.0,58.0,104.0,0.45,6.1,0.6,2.73,145.0,misc
298,crema inglesa,english custard,124.0,5.9259,5.5,1.7,0.0,11.9,2.1,0.4,3.1,False,100.0,103.333,0.25,0.28,10.0,0.1,0.21,0.05,0.6,0.06,0.0,130.0,0.4,170.0,13.0,78.0,130.0,23.7,16.6,0.064,2.5,195.0,sweets
299,crema pastelera,custard,159.0,5.3651,4.9,66.1,0.3,22.3,2.0,0.47,2.6,False,120.0,93.3333,0.3,0.3,15.0,0.2,0.18,0.06,1.0,0.05,1.0,108.0,0.6,148.0,13.0,72.0,120.0,23.7,16.6,0.064,2.4699999999999998,180.0,sweets
300,cremoso san millan,"""san millan"" creamy cheese",262.0,25.0,6.7,63.0,0.0,3.0,6.6,0.7,14.3,False,65.0,203.8,0.65,0.24,3.5,0.12,0.0,0.05,0.22,0.08,0.0,95.0,0.2,98.0,25.0,457.0,67.0,29.0,6.0,2.1,7.3,1142.5,dairy
301,croissant,croissant,408.0,17.2,7.5,14.8,2.2,55.0,5.5,0.75,9.9,True,50.0,225.0,0.8,1.0,19.0,0.95,0.1,0.14,0.0,0.1,0.0,42.0,1.2,136.0,16.0,492.0,95.0,7.7,5.2,0.6,6.25,1230.0,cereals
302,croissant de chocolate,croissant with chocolate,481.0,15.2,5.6,0.0,3.0,79.1,5.8,1.3,6.6,True,130.0,0.13,3.0,3.5,4.0,0.9,0.03,0.11,0.0,0.07,0.0,82.0,4.0,170.0,16.0,110.0,87.0,7.7,5.2,2.0,7.1,275.0,cereals
303,croquetas de pollo,chicken croquettes,154.0,5.32,5.78,66.0,2.45,20.43,1.436,2.225,0.74,True,30.6,5.55,0.434,0.09,8.93,5.2,0.2,0.12,4.01,0.06,0.0,22.4,1.13,173.4,26.3,719.2,173.3,15.2,8.1,0.29,3.661,1798.0,meat
304,cuajada,curdled milk,87.0,4.7,4.5,84.2,0.0,6.6,1.3,0.2,2.9,False,6.6,42.0,0.21,0.23,5.0,1.0,0.22,0.05,0.3,0.12,0.0,178.0,0.1,218.0,16.0,64.0,129.0,9.0,9.0,0.5,1.5,160.0,dairy
305,cubata,ron with soft drink,109.0,0.0,0.0,82.65,0.0,7.35,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.03,0.6,1.6,7.3,8.5,0.0,0.0,0.0,0.0,18.25,drinks
306,cubito de caldo,stock powder,251.0,18.7,15.7,4.6,0.2,5.0,7.61,0.7,9.09,True,10.0,15.0,0.0,0.0,32.0,4.5,0.24,0.07,0.54,0.57,0.0,60.0,1.2,446.0,55.4,16982.0,320.0,0.0,27.6,0.8,8.31,42455.0,misc
307,curry,curry,439.0,15.0,15.0,10.0,0.0,60.0,7.9,3.9,2.8,False,0.0,100.0,0.0,0.0,0.0,3.467,0.281,0.253,0.0,0.0,11.41,500.0,29.5,1550.0,250.0,50.0,350.0,1.0,0.7,0.3,11.8,125.0,misc
308,dátil,date,288.0,0.5,2.5,16.5,7.1,67.0,0.0,0.0,0.0,False,0.0,5.0,0.0,2.2,28.0,1.7,0.1,0.06,0.0,0.2,2.0,62.0,3.0,677.0,58.0,3.0,74.0,1.0,3.0,0.3,0.0,7.5,fruits
309,donut,doughnut,395.0,22.4,6.1,26.5,3.0,42.0,10.41,6.08,5.81,True,37.0,225.0,0.8,1.81,19.0,2.4,0.2,0.22,1.73,0.02,0.0,95.3,4.3,102.0,21.0,443.0,81.0,17.0,9.6,0.6,16.490000000000002,1107.5,cereals
310,"donut, de chocolate","doughnut, with chocolate",454.0,25.25,4.93,16.76,1.9,51.33,8.618,1.96,13.47,True,19.0,4.0,0.0,2.02,65.0,1.59,0.125,0.163,0.1,0.024,1.3,97.5,4.0,103.4,19.3,440.6,107.3,6.3,6.8,3.3,10.578,1101.5,cereals
311,"dorada, cruda","gilt-head bream, raw",78.0,7.22,17.0,82.0,0.0,0.0,2.13,2.46,1.49,True,67.0,9.0,14.0,1.25,6.0,5.0,0.08,0.06,2.0,0.18,0.0,30.0,0.9,300.0,25.0,73.0,180.0,7.0,28.0,0.5,4.59,182.5,seafood
312,"dorada, plancha","gilt-head bream, griddle",93.0,2.7,17.0,80.3,0.0,0.0,0.8,0.5,0.5,False,42.0,85.0,0.0,1.25,0.0,5.0,0.08,0.05,2.0,0.16,0.0,184.0,0.9,300.0,25.0,73.0,180.0,0.0,0.0,0.5,1.3,182.5,seafood
313,empanada de carne,meat pasty,299.0,18.11,21.91,47.8,0.13,12.01,7.5,4.16,4.81,True,91.0,35.0,0.19,0.49,9.0,11.48,0.18,0.09,0.41,0.35,0.0,37.0,0.91,347.0,23.0,598.0,188.0,6.72,21.7,0.95,11.66,1495.0,misc
314,empanadilla,"pasty, frozen, n/e",248.0,12.03,4.76,48.1,5.37,29.74,3.13,2.73,4.361,True,48.0,27.78,2.17,1.95,15.41,8.1,0.14,0.17,13.09,0.13,0.0,30.1,1.07,204.3,24.7,713.2,243.2,20.1,39.1,0.39,5.859999999999999,1783.0,misc
315,endibia,endive,9.0,0.2,1.1,93.8,1.9,0.7,0.02,0.13,0.04,False,0.0,17.0,0.0,1.0,115.0,0.31,0.06,0.06,0.0,0.1,10.0,39.0,0.6,205.0,8.0,4.0,25.0,5.9,2.8,0.3,0.15,10.0,vegetables
316,"eneldo, seco","dill, dried",292.0,4.4,19.9,7.3,37.6,42.2,0.0,0.0,0.0,False,0.0,5543.0,0.0,9.27,0.0,0.28,0.28,0.42,0.0,1.46,0.0,1780.0,48.8,3310.0,450.0,210.0,540.0,0.0,0.0,3.3,0.0,525.0,misc
317,ensaimada,ensaimada,458.0,31.3,5.7,21.7,1.7,38.4,13.15,3.13,13.35,True,60.0,19.0,0.14,0.78,18.0,0.62,0.08,0.07,0.2,0.1,0.0,14.0,0.8,84.0,15.0,294.0,79.0,24.5,10.9,0.4,16.28,735.0,cereals
318,ensalada,salad,19.0,0.28,1.11,94.34,1.26,2.99,0.0,0.18,0.06,False,0.0,46.87,0.0,0.56,25.9,1.13,0.05,0.07,0.0,0.1,16.0,20.55,0.67,216.0,7.23,7.0,26.8,2.0,0.1,0.19,0.18,17.5,vegetables
319,ensaladilla rusa,russian salad,110.0,6.68,2.7,78.59,2.27,9.76,3.64,1.19,1.07,False,35.09,321.21,0.14,1.54,28.06,1.37,0.09,0.1,0.15,0.19,15.04,25.68,0.87,376.48,19.77,48.26,58.61,5.22,0.0,0.35,4.83,120.64999999999999,misc
320,escarola,escarole,12.0,0.2,1.6,93.8,2.6,1.0,0.01,0.1,0.05,False,0.0,73.0,0.0,0.0,110.0,0.4,0.09,0.06,0.0,0.1,10.0,55.0,1.0,327.0,13.0,14.0,37.0,3.0,1.0,0.2,0.11,35.0,vegetables
321,"espárrago, verde","asparagus, green",25.0,0.6,2.9,92.8,1.7,2.0,0.1,0.2,0.1,False,0.0,53.0,0.0,2.0,113.0,1.5,0.11,0.12,0.0,0.07,21.6,27.7,1.3,207.0,12.5,3.0,59.0,8.0,1.0,0.51,0.30000000000000004,7.5,vegetables
322,esparragos blancos en conserva,"asparagus, white, canned",24.0,0.3,1.9,93.4,1.0,3.4,0.01,0.14,0.07,False,0.0,65.0,0.0,1.5,30.0,0.9,0.1,0.07,0.0,0.03,15.0,19.0,0.7,160.0,15.0,236.0,43.0,0.0,1.0,0.32,0.15000000000000002,590.0,vegetables
323,"espinaca, en conserva","spinach, canned",15.0,0.4,2.2,90.6,6.3,0.52,0.02,0.18,0.03,False,0.0,550.0,0.0,0.06,140.0,0.3,0.06,0.017,0.0,0.07,14.0,85.0,0.0,213.0,63.0,170.0,30.0,2.0,1.0,0.5,0.19999999999999998,425.0,vegetables
324,"espinaca, hervida","spinach, boiled",22.0,0.49,2.39,93.14,1.84,1.94,0.0,0.0,0.0,False,0.0,771.0,0.0,1.44,105.0,1.07,0.18,0.08,0.0,0.17,23.63,119.7,2.1,458.93,46.4,57.0,52.25,8.75,0.0,0.44,0.0,142.5,vegetables
325,"espinaca, picada, congelada, cruda","spinach, frozen, raw",22.0,0.8,2.7125,90.7,2.9,1.0,0.08,0.32,0.24,False,0.0,542.0,0.0,1.715,143.015,0.765,0.175,0.075,0.0,0.205,26.28,147.33,2.27,380.0,53.585,56.0,43.0,1.0,0.3,0.54,0.4,140.0,vegetables
326,fabada,"bean, stew ""fabada"" type",158.0,8.82,6.06,63.9,7.8,13.42,3.445,0.772,3.095,False,20.0,24.1,0.0,0.35,56.58,9.34,0.1,0.12,10.59,0.1,0.0,118.3,7.8,1170.0,174.3,891.0,309.9,5.6,16.1,0.63,4.217,2227.5,misc
327,"faneca, cruda","pout, raw",76.0,1.0,15.4,82.6,0.0,1.0,0.18,0.27,0.25,False,48.0,9.0,0.19,1.5,10.4,5.0,0.08,0.06,2.9,0.05,0.0,30.0,0.8,316.0,25.0,141.0,210.0,7.0,45.0,0.5,0.45,352.5,seafood
328,flamenquín,"pork loin, cheese and ham roll, breaded, fried, ""flamenquin"" type",231.0,15.13,19.2,60.79,0.31,4.4,9.12,1.94,2.95,False,69.3,10.08,0.08,0.195,3.34,2.88,0.09,0.32,1.004,0.16,1.7,14.95,1.73,152.23,14.32,172.6,140.18,4.62,0.44,1.43,11.059999999999999,431.5,misc
329,flan de huevo,egg custard,133.0,3.4,4.8,70.0,0.0,20.4,1.82,0.53,2.03,False,147.0,95.0,0.58,0.23,9.0,0.43,0.17,0.05,0.6,0.1,0.0,91.0,0.7,122.0,13.0,63.0,107.0,33.0,4.6,0.6,2.35,157.5,dairy
330,"flan de huevo, bajo en calorías","caramel custard cream, diet",77.0,2.4,5.7,84.0,0.0,7.9,1.52,0.416,1.6,False,117.6,24.0,0.4,0.23,0.3,1.5,0.12,0.05,0.7,0.06,0.0,99.0,0.8,129.0,13.0,91.0,118.0,33.0,4.6,0.6,1.936,227.5,misc
331,"fletan, crudo","halibut, raw",85.0,1.3,17.501,80.7,0.0,0.5,0.3,0.5,0.2,False,56.6,20.0,0.0,1.05,9.26,6.28,0.09,0.08,0.95,0.6,0.0,33.4,0.55,309.0,28.3,100.0,195.0,16.14,24.0,0.48,0.8,250.0,seafood
332,foie gras,foie gras,444.0,44.0,10.0,42.0,0.0,3.0,25.2,4.8,12.0,True,380.0,950.0,0.2,0.35,556.0,3.0,0.6,0.03,15.0,0.3,2.0,10.0,6.4,170.0,15.0,740.0,190.0,6.3,41.6,1.7,30.0,1850.0,meat
333,"frambuesa, cruda","raspberry, raw",38.0,0.525,1.2,84.0,6.7,7.0,0.0,0.34,0.0,False,0.0,2.0,0.0,0.2,40.0,0.8,0.04,0.03,0.0,0.06,25.0,22.0,0.7,220.0,20.0,3.0,29.0,0.0,0.1,0.3,0.34,7.5,fruits
334,fresa,strawberry,36.0,0.5,0.7,89.6,2.2,7.0,0.063,0.24,0.032,False,0.0,1.0,0.0,2.0,20.0,0.6,0.04,0.02,0.0,0.06,60.0,25.0,0.8,190.0,12.0,2.0,26.0,8.0,0.0,0.1,0.303,5.0,fruits
335,fritos de maíz,corn chips,566.0,37.31,6.6,0.19,4.9,51.0,15.93,4.774,16.6,False,0.0,2.07,0.0,2.55,9.04,1.95,0.0,1.15,0.18,0.11,0.0,63.2,20.3,314.3,74.3,994.2,243.2,1.0,6.7,2.3,20.704,2485.5,misc
336,fructosa,fructose,408.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,0.0,0.0,0.0,sweets
337,frutos secos,nuts,566.0,51.45,1.3,1.75,9.0,25.35,31.395,10.768,6.899,False,0.0,1.5,0.0,10.94,50.0,4.7,0.2,0.2,0.0,0.296,0.4,70.0,3.7,597.0,225.0,669.0,435.0,0.0,7.5,3.8,42.163,1672.5,legumes
338,fuet,"cured sausage, ""fuet"" type",475.0,42.0,19.5,32.9,0.0,5.5,19.9,6.5,15.5,False,87.5,0.0,0.0,0.0,4.0,4.2,0.2,0.57,2.5,0.32,0.0,11.0,1.0,280.0,26.0,1180.0,153.0,4.2,18.9,2.3,26.4,2950.0,meat
339,"galleta ,tipo ""digestiva"", con chocolate","cookie, ""digestive"" type, with chocolate",513.0,24.1,6.8,0.0,3.1,66.5,8.9,1.8,12.2,False,51.0,0.0,0.0,1.1,8.6,2.7,0.11,0.08,0.0,0.08,0.0,84.0,2.1,210.0,41.0,450.0,130.0,7.4,4.3,1.0,10.700000000000001,1125.0,cereals
