foodname_ESP,foodname_ENG,quantity,energy,fats,prot,carbs,water,fiber,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,A,D,E,B9,B3,B2,B1,B12,B6,C
"Cerdo, parte sin especificar","Pork, not specified part",100,272.0,23.0,16.6,60.4,0.0,0.0,9.62,3.51,7.43,True,,,0.01,4.0,7.6,0.2,0.7,2.0,0.33,0.0,8.0,1.3,370.0,18.0,760.0,170.0,,14.0,1.8
"Cerdo, pierna, cruda, con grasa separable","Pork, leg, raw, with separable fat",100,212.0,15.2,19.0,65.8,0.0,0.0,6.4,2.5,5.1,False,0.1,0.01,0.0,5.0,8.7,0.2,0.89,1.0,0.45,0.0,8.0,1.5,370.0,22.0,80.0,230.0,5.0,12.0,2.5
"Cerdo, solomillo, asado","Pork, sirloin, roasted",100,159.0,4.7009,28.8,65.2,0.0,0.0,2.2,0.58,1.7,False,,,0.1,6.0,4.7,0.4,0.9,0.6,0.4,,9.0,1.5,540.0,25.0,65.0,290.0,1.1,6.9,2.4
"Cerdo, solomillo, crudo","Pork, sirloin, raw",100,131.0,5.1,21.0,74.4,0.0,0.0,2.367,0.4418,2.0514,False,,,0.1,4.0,4.3,0.26,1.0,0.7,0.45,0.0,8.0,1.2,420.0,25.0,53.0,230.0,2.4,14.0,1.6
Cereales base trigo y chocolate,"Breakfast cereals, wheat and chocolate",100,385.0,2.5,8.0,4.0,4.5,81.0,0.28,0.32,1.1,False,566.0,4.2,0.5,167.0,15.0,1.3,1.2,0.85,1.7,50.0,267.0,7.9,400.0,50.0,400.0,100.0,5.0,48.6,0.9
Cereales desayuno base de arroz chocolateado,"Breakfast cereal, rice with chocolate",100,388.0,1.1,6.0,6.3,1.7,86.6,0.6,0.1,1.0,False,0.0,0.0,0.0,167.0,15.0,1.3,1.2,0.8,1.7,0.0,453.0,7.9,200.7,39.6,400.0,89.3,4.8,9.2,1.0
Cereales desayuno base de arroz y miel,"Breakfast cereal, rice with honey",100,385.0,1.0,5.1,5.9,1.0,87.0,0.34,0.38,0.27,False,566.0,4.25,0.5,200.0,15.3,1.6,1.2,0.85,1.7,51.0,267.0,10.0,140.0,27.5,0.4,95.0,5.0,25.6,0.85
"Cereales desayuno base de arroz, trigo y fruta","Breakfast cereal, rice, wheat and fruit",100,356.0,2.2,5.8,9.6,5.8,76.6,,,1.4,False,7.4,7.5,11.4,300.0,27.0,2.4,2.1,1.5,3.0,90.0,21.0,8.6,313.6,56.0,800.0,145.0,4.0,20.6,1.4
Cereales desayuno base de maíz y miel,"Breakfast cereal, corn with honey",100,394.0,3.5,6.0,4.5,3.0,83.0,,,0.7,False,4.7,4.2,0.3,167.0,15.0,1.3,1.2,0.8,1.7,0.1,453.0,7.9,79.0,17.4,500.0,51.3,3.3,4.9,0.4
Cereales desayuno base de maíz y trigo,"Breakfast cereal, corn and wheat",100,381.0,3.0,6.0,6.8,3.4,80.8,,,1.8,False,0.0,0.0,17.0,340.0,31.0,2.7,2.4,1.7,3.4,102.0,500.0,24.0,0.0,50.0,600.0,170.0,0.0,0.0,0.0
"Cereales desayuno base de maíz, trigo y avena","Breakfast cereal, corn, wheat and oat",100,416.0,6.8,6.2,5.2,2.4,80.9,0.0,0.0,4.6,False,0.0,0.0,0.0,170.0,15.3,1.4,1.2,0.85,1.7,51.0,0.0,11.9,0.0,0.0,200.0,0.0,0.0,0.0,0.0
Cereales desayuno base de trigo azucarado,"Breakfast cereal, wheat with sugar",100,385.0,1.5,7.0,4.0,3.5,84.0,,,0.4,False,10.7,4.2,0.1,167.0,15.0,1.3,1.2,0.8,1.7,0.0,267.0,7.9,72.2,10.4,10.0,26.0,9.5,2.1,2.77
Cereales desayuno base de trigo y arroz,"Breakfast cereal, wheat and rice",100,380.0,1.0,16.0,5.5,2.5,75.0,,,0.3,False,0.0,8.3,0.3,333.0,30.0,2.7,2.3,1.7,3.3,100.0,15.7,2.2,180.2,57.9,792.9,159.5,4.7,9.2,1.7
Cereales desayuno base de trigo y frutas,"Breakfast cereal, wheat and fruit",100,367.0,5.0,8.0,16.0,1.8,71.0,,,2.5,False,6.0,0.1,0.3,250.0,11.3,1.0,0.9,0.65,1.3,2.5,26.8,8.8,181.1,60.0,600.0,104.0,6.1,9.6,1.1
Cereales desayuno base de trigo y miel,"Breakfast cereal, wheat and honey",100,397.0,1.6,5.7,3.2,1.5,88.0,0.34,0.44,0.34,False,0.3,4.25,0.5,200.0,15.3,1.6,1.2,0.85,1.7,51.0,12.4,10.0,184.0,26.4,0.1,84.5,8.5,5.9,0.7
"Cereales desayuno base de trigo, avena, maiz y miel","Breakfast cereal, wheat, oat, corn and honey",100,398.0,4.9,8.0,5.1,3.0,79.0,,,1.0,False,0.3,3.5,0.0,170.0,15.3,1.4,1.2,0.85,1.7,51.0,18.0,11.9,241.0,78.0,0.7,230.0,8.5,5.9,1.9
"Cereales desayuno base de trigo, avena, maíz, miel y nueces","Breakfast cereal, wheat, oat, corn, honey and nuts",100,393.0,2.4,11.0,2.2,4.4,80.0,0.88,0.86,2.4,False,0.0,0.0,0.71,60.0,4.79,0.13,0.1,0.0,0.6,0.0,30.0,13.9,335.0,110.0,775.0,360.7,25.1,5.1,2.8
Cereales desayuno base muesli,"Breakfast cereal, granola",100,372.0,6.9,10.3,9.1,6.1,65.8,3.4,2.3,0.5,False,1.0,0.0,1.5,268.0,17.3,1.4,2.6,1.4,2.7,84.3,37.4,8.4,323.0,77.7,38.2,288.7,17.7,5.9,2.5
"Cereales desayuno, maíz azucarado","Breakfast cereal, corn with sugar",100,382.0,0.5,4.5,5.5,1.5,88.0,,,0.5,False,9.3,4.25,0.1,200.0,15.3,1.6,1.2,0.85,1.7,51.0,13.1,10.0,99.1,16.2,0.5,48.8,4.7,4.7,0.3
"Cereales para el desayuno, ricos en fibra, tipo ""all-bran""","Breakfast cereal, whole wheat, ""all bran"" type",100,267.0,2.7,14.0,3.0,29.0,45.6,0.31,1.2,0.46,False,0.0,2.8,2.2,300.0,17.6,1.3,1.2,0.8,1.7,53.0,70.0,15.0,1150.0,340.0,800.0,820.0,18.4,6.9,6.7
"Cereales, en polvo, solubles (eko)","Soluble cereals, powder",100,393.0,0.42,5.7,6.0,2.3,89.7,0.0,0.3,0.1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,71.0,0.0,332.0,0.0,0.0,0.9
Cereza,Cherry,100,63.0,0.5,0.8,83.7,1.5,13.5,0.084,0.093,0.07,False,3.0,0.0,0.1,8.0,0.4,0.06,0.05,0.0,0.05,8.0,16.0,0.4,255.0,11.0,2.0,21.0,2.0,1.2,0.12
Cerveza con alcohol,Beer,100,42.0,0.0,0.5,92.4,0.0,3.12,0.0,0.0,0.0,False,,0.0,0.0,6.3,0.43,0.033,0.003,0.15,0.062,0.0,8.0,0.01,37.0,9.6,4.4,55.0,8.0,1.2,0.006
Cerveza sin alcohol,Non-alcoholic beer,100,26.0,0.0,0.375,93.9,0.0,5.4,0.0,0.0,0.0,False,0.0,0.0,0.0,15.0,0.7,0.0055,0.006,0.1,0.034,0.0,5.0,0.02,40.0,7.7,2.6,20.0,1.0,1.2,0.008
"Cerveza, baja en alcohol","Beer, low alcohol",100,34.0,0.0,0.2,97.7,0.0,2.1,0.0,0.0,0.0,False,,0.0,0.0,3.0,0.7,0.02,,,0.05,0.0,10.0,,34.0,6.0,7.0,20.0,1.0,,
"Cerveza, oscura, 8°- 9°","Beer, stout, 8°- 9°",100,67.0,,0.6,88.5,0.0,5.2571,,,,False,,0.0,0.0,9.5,0.815,0.055,,0.28,0.05,0.0,11.0,0.05,92.0,16.5,11.5,33.5,8.0,1.2,0.01
Champiñon,Mushroom (champignon),100,26.0,0.3,1.8,91.4,2.5,4.0,,0.17,0.07,False,0.0,0.0,0.12,23.0,4.6,0.41,0.1,0.0,0.1,4.0,9.0,1.0,470.0,14.0,5.0,115.0,3.0,9.0,0.1
Champiñones en conserva,"Mushrooms, canned",100,14.0,0.5,2.25,95.7,1.5,0.07,0.07,0.17,0.12,False,0.0,0.0,0.1,23.0,1.2,0.19,0.02,0.0,0.06,1.7,19.0,0.8,121.0,15.0,319.0,69.0,2.0,8.8,0.1
"Chayote, crudo","Chayote, raw",100,23.0,0.13,0.82,94.24,1.7,4.51,0.01,0.057,28.0,False,0.0,0.0,0.12,93.0,0.47,0.029,0.025,0.0,0.076,7.7,17.0,0.34,125.0,12.0,2.0,18.0,,0.2,0.74
"Chicle, sin azúcar",Chewing gum,100,3.0,0.3,0.0,3.0,0.0,0.0,0.079,0.137,0.042,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.6,0.0
"Chile, rojo","Chili pepper, red",100,34.0,0.4,1.0,90.3,1.9,6.4,,0.2,0.1,False,684.17,0.0,0.8,23.0,2.5,0.15,0.12,0.0,0.28,225.0,16.0,1.0,440.0,21.0,12.0,39.0,1.0,,0.3
"Chile, verde","Chili pepper, green",100,17.0,0.3,0.8,94.4,1.9,2.6,,0.2,0.1,False,29.17,0.0,0.8,29.0,1.6,0.08,0.07,0.0,0.28,120.0,30.0,1.2,220.0,24.0,7.0,80.0,1.0,,0.4
Chipiron,Baby squid,100,82.0,1.4,16.25,81.7,0.0,0.7,0.1,0.5,0.408,False,77.03,,2.7,5.12,7.04,0.15,0.07,1.31,0.03,0.0,144.0,0.32,280.0,37.84,110.0,190.0,64.0,44.8,1.08
Chirimoya,Custard apple,100,87.0,0.2,1.0,76.9,1.9,20.0,0.1,0.3,0.2,False,9.8,0.0,0.01,12.6,0.9,0.09,0.08,0.0,0.03,18.0,30.0,0.6,382.0,18.0,4.0,21.0,1.5,,0.11
Chirla,Baby clam,100,47.0,0.5,10.7,88.8,0.0,0.0,0.03,0.13,0.05,False,250.0,,0.4,17.0,4.1,0.14,0.04,,0.1,,128.0,24.0,43.0,51.0,601.0,130.0,160.0,45.0,1.3
Chistorra,Chistorra sausage,100,515.0,50.5,15.3,33.3,0.0,0.9,18.7,2.6,26.8,False,181.33,,0.57,2.0,11.5,0.25,0.56,0.85,0.16,0.0,13.0,1.7,232.0,23.0,889.0,90.0,11.0,21.1,1.4
Chocolate blanco,White chocolate,100,547.0,30.9,8.0,1.5,0.8,58.8,9.9,1.1,18.2,False,26.0,,1.14,10.0,5.4,0.49,0.08,,0.07,0.0,270.0,0.2,350.0,26.0,110.0,230.0,6.0,3.0,0.9
Chocolate con leche,Milk chocolate,100,538.0,31.5,9.19,2.9,0.8,54.1,10.23,1.088,18.96,True,33.16,0.0,0.7,10.0,2.223,0.37,0.11,,0.11,,247.0,1.7,465.0,71.0,58.0,261.0,5.5,3.0,1.7
Chocolate con leche y almendras,Chocolate with milk and almonds,100,549.0,35.0,8.6,2.7,3.9,49.8,8.9,0.8,16.6,True,48.7,0.1,0.5,11.4,0.8,0.4,0.09,0.25,0.05,0.2,209.0,1.4,441.0,80.0,106.0,246.0,12.0,1.2,0.0008
Chocolate con leche y arroz,Chocolate with milk and rice,100,517.0,26.3,6.4,2.7,1.6,63.0,8.8,0.8,16.4,True,48.4,0.1,0.5,18.0,0.7,0.27,0.07,0.25,0.05,0.2,169.0,0.9,322.0,44.0,105.0,190.0,12.0,1.2,0.001
Chocolate con nueces de macadamia,Chocolate with macadamian nuts,100,590.0,41.3,7.1,2.2,1.8,47.6,18.8,1.2,20.6,True,61.3,0.1,0.6,7.1,0.6,0.29,0.1,0.27,0.07,0.2,193.0,1.1,386.0,61.0,113.0,205.0,13.0,1.0,0.0012
"Chocolate negro, con almendras","Chocolate, bitter, with almonds",100,535.0,37.4,8.2,3.8,9.1,41.5,8.6,0.8,16.3,False,30.2,0.0,0.4,13.8,1.2,0.25,0.08,0.0,0.04,0.0,78.0,2.5,460.0,139.0,106.0,219.0,0.0,0.1,0.001
"Chocolate negro, con azúcar","Chocolate bitter, with sugar",100,532.0,30.0,2.0,5.0,,63.0,9.3,0.85,16.8,True,2.0,0.0,0.55,10.0,0.6,0.15,0.03,0.0,0.043,0.0,63.0,2.8,327.0,103.0,19.0,147.0,10.0,2.8,1.5
"Chocolate, negro","Chocolate, bitter",100,543.0,29.2,4.7,1.3,,64.8,9.3,1.2,16.9,True,8.6667,0.0,0.1333,6.0,0.9667,0.1367,0.0467,0.0,0.05,0.0,37.6667,1.5,359.667,123.667,12.3333,181.333,2.3,6.8,2.2333
Choped pork,Pork luncheon meat,100,309.0,27.0,14.0,56.0,0.0,3.0,11.29,4.17,9.4,True,,,0.25,,5.9,0.21,0.33,,0.05,0.0,13.0,2.2,207.0,9.0,668.0,160.0,1.0,18.6,2.9
Chorizo,Chorizo,100,323.0,23.1,27.0,47.0,0.0,1.9,11.0,2.502,9.6,True,,,0.29,0.9,7.1,0.15,0.33,0.9,0.14,0.0,18.4,2.1,180.0,10.3,1060.0,270.0,10.9,21.1,1.2
"Chufa, cruda","Tigger nut, raw",100,409.0,23.74,6.13,7.095,17.4,42.5402,16.4693,2.2093,4.0169,False,0.0,0.0,10.0,141.0,1.8,0.1,0.23,0.0,0.33,6.0,69.54,3.41,519.2,86.88,37.63,232.225,0.0,0.0,4.19
Churro,Cruller,100,360.0,20.0,4.6,34.2,1.2,40.0,6.37,10.0,2.62,False,,0.0,0.34,11.0,1.6,0.03,0.04,0.0,0.1,0.0,7.0,0.6,146.0,14.0,2.0,108.0,10.0,4.0,0.4
"Ciervo, parte s/e, crudo, con grasa separable","Deer, piece n/e, raw, with separable fat",100,105.0,1.6,22.2,76.2,0.0,0.0,0.4,0.4,0.8,True,0.0,,0.2,4.0,6.37,0.48,0.22,6.31,0.37,0.0,5.0,3.3,340.0,25.0,55.0,210.0,6.0,9.7,2.4
Cigala,Scampi,100,87.0,1.4,17.7,80.4,0.0,0.5,0.2,0.5,0.2,False,,,1.5,17.0,1.3,0.05,0.08,1.0,0.1,0.0,100.0,1.0,400.0,30.0,400.0,300.0,30.0,41.4,0.8
"Ciruela, con piel, cruda","Yellow plum, with skin, raw",100,54.0,0.2,0.75,82.35,2.3,12.0,,,,False,20.0,0.0,0.5,3.0,0.5,0.035,0.055,0.0,0.05,6.0,12.5,0.45,236.5,11.5,0.5,29.0,,0.5,0.4
"Ciruela, sin piel",Skinned plum,100,47.0,,0.6,86.3,2.1,11.0,0.052,0.078,0.022,False,49.2,0.0,0.7,3.0,0.5,0.05,0.07,0.0,0.05,3.0,14.0,0.4,240.0,8.0,2.0,10.0,2.0,,0.1
"Coco, desecado","Coconut, dried",100,588.0,58.0,6.2,7.0,17.0,11.8,3.8,0.9,49.9,False,0.0,0.0,0.7,9.0,0.3,0.02,0.03,0.0,0.3,2.0,26.0,3.32,543.0,90.0,37.0,206.0,0.3,18.5,2.01
"Coco, fresco","Coconut, raw",100,373.0,33.5,3.3,39.0,9.0,15.2,1.4,0.37,29.7,False,0.0,0.0,0.7,26.0,1.1,0.02,0.03,0.0,0.04,2.0,13.0,2.1,405.0,52.0,17.0,94.0,1.0,10.1,0.5
"Col blanca, cruda","Cabbage, white, raw",100,36.0,0.9,4.3,88.1,4.2,2.54,0.017,0.4899,0.105,False,4.0,0.0,1.7,77.0,2.07,0.25,0.1,0.0,0.25,37.4,57.0,1.9,270.0,31.0,35.0,87.0,4.5,1.4,0.33
"Col de bruselas, cruda","Brussels sprout, frozen",100,35.0,0.5,4.0,84.4,4.3,3.5,,0.2,0.1,False,13.0,0.0,0.9,55.6,0.69,0.13,0.14,0.0,0.28,110.0,31.0,1.1,411.0,23.0,9.0,77.0,10.0,1.6,0.5
"Col lombarda, hervida","Red cabbage, boiled",100,18.0,0.3,1.0,91.4,2.4,2.75,,0.15,,False,1.0,0.0,0.7,34.0,0.2,0.02,0.03,0.0,0.1,33.0,37.0,0.4,140.0,9.0,3.0,29.0,1.0,0.4,0.1
"Col rizada, cruda","Savoy cabbage, raw",100,34.0,1.6,3.4,90.3,3.3,1.4,0.1,0.9,0.2,False,165.83,0.0,0.2,150.0,1.0,0.03,0.15,0.0,0.19,62.0,53.0,1.1,320.0,7.0,5.0,44.0,0.0,2.0,0.3
"Coliflor, congelada, cruda","Cauliflower, frozen, raw",100,18.0,0.175,2.0,92.5,2.3,2.1,,0.14,,False,0.0,0.0,0.12,64.0,0.43,0.07,0.05,0.0,0.12,47.0,22.0,0.5,193.0,12.0,24.0,35.0,1.0,0.4,0.6
"Coliflor, hervida","Cauliflower, boiled",100,27.0,0.87,2.76,90.6,1.6,2.04,0.1,0.5,0.2,False,1.0,0.0,0.1,35.7,0.91,0.03,0.05,0.0,0.12,18.23,16.15,0.35,87.0,9.6,2.9,49.4,0.0,0.0,0.35
Comino,Cumin,100,419.0,18.2,17.8,8.1,10.5,45.4,,,,False,127.0,0.0,0.0,0.0,4.579,0.327,0.628,0.0,0.0,7.71,931.0,66.35,1788.0,356.0,168.0,499.0,,,
Complejo vitaminico,Vitamin complex,100,567.0,45.93,20.15,,,18.78,8.16,26.71,11.03,False,44890.0,561.16,561.16,11222.0,1010.1,89.78,78.56,56.12,112.23,3367.0,,785.63,123.45,,,,8417.5,2805.8,1683.5
Coñac,Cognac,100,233.0,,0.0,66.5,0.0,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
"Conejo de granja, carne, cruda","Farm rabbit, meat, raw",100,132.0,5.3,20.7,74.0,0.0,0.0,2.11,1.76,3.03,True,,,0.54,5.0,8.6,0.14,0.1,10.0,0.42,,22.0,1.0,360.0,25.0,67.0,220.0,3.0,17.0,1.4
"Conejo, entero, estofado","Rabbit, whole, stewed",100,195.0,8.6773,29.0,62.3,0.0,0.0,2.8,2.0,3.4,False,7.0017,0.2,0.01,4.0,8.1,0.24,0.07,9.8,0.47,0.0,17.0,2.1,255.0,21.0,37.0,213.0,3.0,16.0,0.9
"Confitura, frutas s/e, baja en calorías","Preserve fruit, fruit n/e, light",100,226.0,,0.5,43.7,0.8,55.0,,,,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,105.0,7.0,14.0,14.0,2.7,2.0,0.0
Congrio,Conger,100,102.0,2.8,19.0,78.5,0.0,0.0,0.91,0.37,0.55,False,500.0,22.0,4.1,13.0,5.5,0.37,0.17,1.0,0.28,,30.0,0.7,340.0,30.0,50.0,202.0,4.0,30.0,2.0
"Corazón de cordero, crudo","Heart, lamb, raw",100,119.0,5.7,16.5,77.6,0.0,0.21,1.6,0.6,2.3,False,0.0,0.2,0.37,2.0,6.14,0.86,0.31,8.0,0.39,5.0,6.0,4.6,316.0,17.0,89.0,175.0,7.0,32.0,1.87
"Corazón de pollo, crudo","Heart, chicken, raw",100,149.0,9.3,15.6,74.4,0.0,0.71,2.4,2.7,2.7,False,9.0,0.2,1.2,72.0,4.88,1.24,0.43,4.24,0.36,6.0,22.0,1.7,262.0,15.0,111.0,164.0,7.0,4.3,3.1
"Corazon de vaca, crudo","Beef (cow), heart, raw",100,105.0,4.0,17.0,79.0,0.0,0.0,1.0,0.5,1.6,False,0.0,1.0,0.52,3.0,10.467,1.02,0.19,13.0,0.3,6.0,6.0,4.8,263.0,23.0,92.0,210.0,7.0,22.0,2.0
"Corazón, de cerdo, crudo","Pork, heart, raw",100,115.0,4.4,17.3,78.7,0.0,1.3,1.0,1.1,1.2,False,10.0,0.2,0.63,2.0,6.6,1.06,0.46,2.7,0.29,5.3,5.0,4.3,257.0,20.0,80.0,176.0,0.0,10.4,2.2
"Corazón, de vaca/buey, cocido","Beef (cow/ox), heart, boiled",100,164.0,5.6654,27.9,65.0,0.0,0.0,1.4,0.77,2.3,False,0.0,1.4,0.7,2.0,3.1,1.4,0.2,14.0,0.15,2.0,6.0,7.3,232.0,25.0,100.0,230.0,7.0,38.9,3.5
"Corazón, de vaca/buey, crudo","Beef (cow/ox), heart, raw",100,104.0,3.9544,17.0,76.6,0.0,0.0,0.98,0.54,1.6,False,0.0,1.0,0.52,3.0,7.3,0.96,0.44,13.0,0.3,6.0,6.0,4.8,263.0,23.0,92.0,210.0,7.0,33.3,2.0
"Cordero lechal, costillar, asado","Suckling lamb, ribs, roasted",100,235.0,16.49,21.63,60.76,0.0,0.0,5.67,0.79,5.83,True,,30.0,0.08,1.15,3.59,0.11,0.09,2.11,0.53,,17.23,0.79,268.52,18.34,96.52,172.45,,7.64,2.71
"Cordero lechal, costillar, crudo","Suckling lamb, ribs, raw",100,192.0,13.14,18.46,67.36,,0.0,5.29,0.75,5.47,True,,,0.12,4.19,2.97,0.09,0.13,1.82,0.54,0.0,10.69,0.86,292.05,19.71,89.1,191.92,,6.63,2.69
"Cordero lechal, espalda, cruda","Suckling lamb, back, raw",100,190.0,12.4,19.46,67.06,,0.0,4.41,0.62,4.54,True,,,0.15,5.18,2.92,0.08,0.14,2.46,0.5,0.0,8.09,0.78,289.22,17.94,81.37,178.02,,6.54,3.16
"Cordero lechal, pierna, cruda","Suckling lamb, leg, raw",100,188.0,12.32,19.19,67.39,,0.0,4.03,0.56,4.14,True,,,0.17,4.67,3.46,0.08,0.15,2.62,0.61,0.0,11.21,0.98,324.16,21.39,81.55,212.66,,8.07,3.11
"Cordero ligero, costillar, asado","Light lamb, ribs, roasted",100,274.0,20.93,21.59,56.44,0.0,0.0,6.48,0.91,6.72,True,,20.0,,1.25,2.22,0.06,0.1,2.19,0.4,,13.15,1.05,224.66,15.78,76.29,145.77,,12.29,2.91
"Cordero ligero, costillar, crudo","Light lamb, ribs, raw",100,234.0,18.46,17.26,63.36,,0.0,6.17,0.88,6.39,True,,,0.25,4.46,4.34,0.08,0.13,1.98,0.63,0.0,13.35,1.11,265.4,18.91,75.73,171.68,,11.69,3.35
"Cordero ligero, espalda, cruda","Light lamb, back, raw",100,201.0,14.55,17.61,66.91,,0.0,5.17,0.74,5.34,True,,,0.14,4.61,3.4,0.07,0.14,2.06,0.53,0.0,8.16,1.12,284.87,18.93,77.16,175.14,,12.46,3.68
"Cordero ligero, pierna, cruda","Light lamb, leg, raw",100,184.0,12.05,18.98,67.98,,0.0,4.38,0.62,4.54,True,,,0.16,4.16,3.32,0.07,0.14,2.53,0.54,0.0,7.27,1.24,301.49,20.78,67.5,192.88,,12.25,3.08
"Cordero, costilla, crudo","Lamb, rib, raw",100,242.0,20.1,15.6,64.1,0.0,0.0,8.05,1.18,9.96,False,0.0,,0.17,3.0,4.4,0.18,0.13,1.3,0.2,0.0,9.0,2.6,320.0,16.0,75.0,170.0,2.0,27.3,2.2
"Cordero, parte sin especificar","Lamb, not specified part",100,354.0,32.7,15.6,51.7,0.0,0.0,11.33,1.76,15.17,True,,,0.26,3.0,7.4,0.16,0.08,1.0,0.17,0.0,7.0,1.2,260.0,18.0,68.0,194.0,3.0,1.0,3.3
"Cordero, pierna, con grasa, asada","Lamb, leg, with separable fat, baked",100,223.0,13.5887,25.0,60.0,0.0,0.0,5.7,0.85,6.4,False,,,0.1,3.0,6.0,0.26,0.12,2.0,0.15,0.0,9.0,2.2,286.0,22.0,60.0,180.0,3.0,4.0,4.6
Corteza de trigo,Wheat crusts,100,484.0,25.8,10.26,1.6,6.25,52.19,10.782,2.885,10.73,False,3.37,0.0,1.74,10.29,3.8,0.1,0.1,0.24,0.12,0.0,61.2,15.3,349.5,60.3,1234.3,199.7,10.0,17.1,1.9
Crema catalana,Catalan creme,100,104.0,2.9,3.7,77.9,,15.48,0.76,0.06,1.89,False,63.0,0.83,0.1,5.0,1.0,0.18,0.04,0.5,0.06,1.0,130.0,0.1,160.0,13.0,81.0,110.0,8.3,2.7,0.4
Crema de almendras,"Almond, cream",100,380.0,13.2,4.6,22.0,0.5,59.7,7.6,2.1,0.9,False,0.0,0.0,5.2,8.0,1.14,0.1,0.05,0.0,0.02,0.0,49.0,0.8,186.0,63.0,3.0,168.0,0.0,4.2,0.7
Crema de cacahuete,Peanut butter,100,602.0,50.9414,25.5,1.2,7.0,11.2,25.8,12.8,10.1,True,0.0,0.0,5.0,67.0,15.0,0.1,0.15,0.0,0.5,0.0,40.0,2.0,750.0,180.0,313.0,366.0,0.5,4.1,3.0
Crema de chocolate con avellanas,Chocolate paste with hazelnuts,100,544.0,33.0,5.4,4.5,1.1,56.02,16.8256,4.607,10.1154,True,17.65,0.05,12.3,22.3,0.86,0.12,0.11,0.07,0.06,0.24,74.1,1.18,288.1,72.2,93.8,152.0,3.4,3.6,1.0
Crema de chocolate y nata,Chocolate and cream pudding,100,86.0,3.4,3.9,82.8,0.5,9.9,1.0,0.1,2.6,False,18.6,0.05,0.1,0.35,0.8,0.17,0.03,0.4,0.04,1.0,125.0,0.3,140.0,19.6,61.0,99.0,14.1,2.3,0.5
"Crema de chocolate, baja en calorías","Chocolate cream, low calorie",100,75.0,3.4,3.6,79.1,0.4,13.9,1.8,0.9,0.5,False,19.8,0.05,0.5,0.31,1.0,0.16,0.04,0.4,0.05,1.2,111.0,0.2,158.0,19.7,58.0,105.0,17.0,2.8,0.6
Crema de coco,Coconut cream,100,125.0,3.5,2.9,73.4,0.01,19.1,0.96,0.24,2.1,False,34.0,0.1,0.4,0.31,0.084,0.14,0.033,0.4,0.037,0.8,113.0,0.15,160.0,14.0,55.0,104.0,13.4,2.0,0.33
Crema de vainilla y mousse de chocolate,Vanilla cream and chocolate mousse,100,131.0,6.5,4.0,70.6,,22.5,2.6,0.13,3.3,False,23.2,0.08,0.58,0.28,1.1,0.15,0.04,0.3,0.04,0.0,116.0,1.6,160.0,28.0,58.0,104.0,0.45,6.1,0.6
Crema inglesa,English custard,100,124.0,5.9259,5.5,1.7,0.0,11.9,2.1,0.4,3.1,False,103.333,0.25,0.28,10.0,0.1,0.21,0.05,0.6,0.06,,130.0,0.4,170.0,13.0,78.0,130.0,23.7,16.6,0.064
Crema pastelera,Custard,100,159.0,5.3651,4.9,66.1,0.3,22.3,2.0,0.47,2.6,False,93.3333,0.3,0.3,15.0,0.2,0.18,0.06,1.0,0.05,1.0,108.0,0.6,148.0,13.0,72.0,120.0,23.7,16.6,0.064
Cremoso san millan,"""san millan"" creamy cheese",100,262.0,25.0,6.7,63.0,0.0,3.0,6.6,0.7,14.3,False,203.8,0.65,0.24,3.5,0.12,,0.05,0.22,0.08,,95.0,0.2,98.0,25.0,457.0,67.0,29.0,6.0,2.1
Croissant,Croissant,100,408.0,17.2,7.5,14.8,2.2,55.0,5.5,0.75,9.9,True,225.0,0.8,1.0,19.0,0.95,0.1,0.14,,0.1,0.0,42.0,1.2,136.0,16.0,492.0,95.0,7.7,5.2,0.6
Croissant de chocolate,Croissant with chocolate,100,481.0,15.2,5.6,0.0,3.0,79.1,5.8,1.3,6.6,True,0.13,3.0,3.5,4.0,0.9,0.03,0.11,0.0,0.07,0.0,82.0,4.0,170.0,16.0,110.0,87.0,7.7,5.2,2.0
Croquetas de pollo,Chicken croquettes,100,154.0,5.32,5.78,66.0,2.45,20.43,1.436,2.225,0.74,True,5.55,0.434,0.09,8.93,5.2,0.2,0.12,4.01,0.06,0.0,22.4,1.13,173.4,26.3,719.2,173.3,15.2,8.1,0.29
Cuajada,Curdled milk,100,87.0,4.7,4.5,84.2,0.0,6.6,1.3,0.2,2.9,False,42.0,0.21,0.23,5.0,1.0,0.22,0.05,0.3,0.12,0.0,178.0,0.1,218.0,16.0,64.0,129.0,9.0,9.0,0.5
Cubata,Ron with soft drink,100,109.0,0.0,0.0,82.65,0.0,7.35,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.03,0.6,1.6,7.3,8.5,0.0,0.0,0.0
