foodname_ESP,foodname_ENG,quantity,energy,fats,prot,carbs,water,fiber,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,A,D,E,B9,B3,B2,B1,B12,B6,C
Arandano,Bilberry,100,33.0,0.6,0.625,87.8,4.9,6.05,,,,False,5.7,0.0,1.921,10.0,0.09,0.02,0.02,0.0,0.06,22.0,10.0,0.74,78.0,2.4,1.0,13.0,1.0,0.1,0.131
"Arenque, ahumado","Herring, smoked",100,254.0,13.9,23.0,59.0,0.0,0.0,4.32,5.67,3.48,True,13.0,23.5,1.0,10.0,2.5,0.4,0.08,5.0,0.45,0.0,60.0,1.8,520.0,50.0,550.0,428.0,0.1,52.6,0.5
"Arenque, salado","Herring, salted",100,300.0,26.0,17.0,57.0,0.0,0.0,7.6,11.6,6.4,False,50.0,40.0,1.71,8.0,4.0,0.22,0.03,3.0,1.3,2.7,20.0,1.0,75.0,36.0,2610.0,220.0,18.0,22.0,0.5
Arroz,Rice,100,387.0,0.9,7.0,5.9,0.2,86.0,0.23,0.32,0.21,False,0.0,0.0,0.3,20.0,3.1,0.03,0.05,0.0,0.3,0.0,10.0,0.5,110.0,13.0,6.0,100.0,2.0,10.0,0.2
Arroz con leche,Rice with milk,100,92.0,1.3,3.3,78.9,0.1,16.4,0.31,0.08,0.77,False,18.0,0.1,0.15,5.0,0.81,0.13,0.04,0.24,0.09,0.0,109.0,0.2,138.0,14.0,38.0,96.0,6.3,1.9,0.3
"Arroz hinchado, para el desayuno, enriquecido","Puffed rice, breakfast cereals, enriched",100,389.0,0.6,6.3,3.0,1.4,87.7,0.15,0.21,0.14,False,0.0,2.8,0.6,250.0,16.8,1.5,1.2,,0.94,,10.0,6.5,113.0,30.0,600.0,110.0,5.0,15.4,0.9
"Arroz integral, crudo","Rice, brown, raw",100,386.0,2.6353,7.5,11.4,3.0,81.3,0.83,0.89,0.52,False,0.0,0.0,0.6,40.0,6.8,0.08,0.39,0.0,0.51,0.0,21.0,1.7,223.0,143.0,6.0,303.0,2.2,2.0,1.8
"Arroz integral, hervido","Rice, brown, boiled",100,112.0,0.9,2.6,71.8,1.8,22.9,0.33,0.32,0.2,False,0.0,0.0,0.2,10.0,1.3,0.02,0.1,0.0,0.15,0.0,10.0,0.48,43.0,43.0,5.0,83.0,1.1,9.8,0.63
"Arroz, hervido","Rice, boiled",100,393.0,1.66,7.54,4.12,1.4,85.28,0.15,0.21,0.13,False,,,0.1,2.07,2.98,0.03,0.06,0.0,0.3,0.34,10.19,0.81,130.0,27.9,4.39,100.83,14.63,,1.3
Atún en aceite de oliva isabel,Tuna in olive oil,100,180.0,8.08,26.53,64.02,0.0,0.0,3.313,3.72,1.05,False,62.2,5.0,2.3,16.8,11.698,0.079,0.017,,0.43,2.2,4.0,0.65,333.0,34.0,396.0,267.0,8.0,60.1,0.47
Atun en aceite vegetal,Tuna in vegetable oil,100,205.0,12.1,23.81,61.4,0.0,0.0,3.6,5.5,1.8,False,62.2,24.7,6.3,16.8,13.6,0.1,0.1,5.0,0.42,,27.7,1.2,,28.2,,,34.2,,1.1
Atún en escabeche,Pickled tuna,100,101.0,0.6,23.5,75.9,0.0,0.0,0.1,0.21,0.23,False,65.0,4.0,0.55,16.0,18.8,0.11,0.02,4.3,0.47,0.0,8.0,1.0,230.0,27.0,320.0,170.0,13.0,78.0,0.7
"Atún, al horno","Tuna, baked",100,190.0,7.8889,29.4,61.0,0.0,0.0,2.0,2.8,2.3,False,34.0,5.8,1.0,16.0,10.5,0.15,0.2,8.0,0.53,,35.0,1.2,310.0,20.0,47.0,200.0,30.0,36.0,0.9
"Atún, al natural","Tuna, canned in water",100,101.0,0.6,23.5,75.9,0.0,0.0,0.1,0.2,0.2,False,60.0,4.0,0.55,7.0,18.78,0.11,0.02,4.0,0.47,0.0,28.0,1.0,230.0,27.0,320.0,170.0,13.0,80.4,0.7
"Atún, crudo","Tuna, raw",100,119.0,3.3,22.0,67.3,0.0,0.0,0.65,1.32,0.96,True,26.0,7.2,1.0,15.0,12.8,0.13,0.1,4.0,0.4,,16.0,1.3,400.0,33.0,47.0,230.0,8.0,82.0,0.7
"Atún, plancha","Tuna, griddle",100,200.0,12.0,23.0,65.0,0.0,,2.39,3.07,2.77,False,60.0,25.0,0.0,15.0,17.8,0.2,0.04,5.0,0.41,0.0,38.0,1.3,40.0,28.0,40.0,200.0,10.0,46.8,1.1
Avellana,Hazelnut,100,656.0,56.25,12.009,5.26,8.22,10.5,46.4,4.89,4.91,True,4.8,0.0,26.19,71.0,3.833,0.21,0.39,0.0,0.59,3.0,226.0,3.8,636.0,156.0,6.0,333.0,1.5,4.5,2.1
"Avellana, cruda, con cáscara","Filbert or hazelnut, raw, in shell",100,639.0,61.6,12.009,5.26,8.22,10.5,48.07,8.609,4.074,False,4.8,0.0,26.19,71.0,3.833,0.21,0.39,0.0,0.59,3.0,226.0,3.8,636.0,156.0,6.0,333.0,1.5,4.5,2.1
"Avena, cruda","Oat, raw",100,401.0,6.9,16.9,0.0,10.6,66.3,2.2,2.5,1.2,False,0.0,0.0,0.7,56.0,0.96,0.14,0.76,0.0,0.12,0.0,54.0,4.72,429.0,177.0,2.0,523.0,6.0,5.0,3.97
"Avestruz, solomillo, crudo","Ostrich, sirloin, raw",100,115.0,2.95,21.67,75.4,0.0,0.0,1.06,0.58,1.2,False,0.0,0.0,0.202,8.0,7.908,0.286,0.195,4.94,0.509,0.0,6.0,3.13,312.0,22.0,81.0,214.0,2.0,35.4,3.76
Azafrán,Saffron,100,350.0,5.9,11.4,11.9,3.9,61.5,0.429,2.067,1.586,False,27.0,0.0,,0.0,1.46,0.267,0.115,0.0,1.01,0.0,110.0,11.1,1720.0,264.0,150.0,250.0,,5.6,1.09
Azúcar blanca,"Sugar, white",100,408.0,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,2.0,,0.0,,5.0,0.5,0.1
"Azúcar, moreno","Sugar, brown",100,398.0,0.0,0.0,1.1,0.0,97.6,0.0,0.0,0.0,True,0.0,0.0,0.0,,,,,0.0,0.02,0.0,85.0,1.9,320.0,22.0,40.0,24.0,0.0,1.2,0.1
Bacaladilla,Whiting,100,77.0,0.7,17.4,81.9,0.0,0.0,0.08,0.28,0.18,False,,,0.44,12.0,4.9,0.07,0.08,2.0,0.33,,16.0,0.3,320.0,23.0,77.0,218.0,30.0,28.0,0.4
"Bacalao, ahumado","Cod, smoked",100,80.0,0.55,18.3,81.2,0.0,0.0,0.2,0.2,0.1,False,2.0,4.0,0.44,5.0,2.0,0.05,0.04,1.0,0.17,3.5,9.0,0.1,390.0,25.0,1170.0,190.0,11.0,147.8,0.4
"Bacalao, crudo","Cod, raw",100,83.0,1.0,18.2,79.9,,,0.17,0.33,0.17,False,5.0,,0.47,12.0,2.4,0.05,0.05,1.0,0.2,0.0,13.0,0.1,340.0,24.0,68.0,180.0,170.0,27.0,0.4
"Bacalao, fresco, al horno","Cod, fresh, baked",100,100.0,1.0571,22.1,76.3,0.0,0.0,0.14,0.4,0.2,False,,,0.6,12.0,2.1,0.07,0.08,1.5,0.33,,18.0,0.4,300.0,34.0,210.0,164.0,147.7,37.6,0.4
"Bacalao, frito","Codfish, fried",100,75.0,0.7,16.97,82.1,0.0,0.0,0.1,0.3,0.1,False,5.85,1.17,0.4,6.3,4.41,0.05,0.06,1.75,0.27,1.35,15.2,0.28,296.0,21.85,44.28,161.5,101.75,25.9,0.37
